h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
1.0,0.3064147523500865,0.34570850638809897,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.14405556051955098,0.7891155397119824,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2213255605175408,0.4527929181431666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.25255690826592353,0.46401311122141986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2135883570494679,0.544399729252628,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.09953895580698807,0.6259248950149363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2824623698600632,0.3900424819479764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2956298574294556,0.3297590401721876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.24052025688656375,0.47238327348352604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.15556671566000388,0.5230892036499847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.18027756377319948,0.2441643310593118,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
